month,trip_duration_sec,start_station_id,start_station_name,end_station_id,end_station_name,bike_id,user_type,member_birth_year,member_gender
January,80825,229,Foothill Blvd at 42nd Ave,196,Grand Ave at Perkins St,4861,Subscriber,1989,Male
January,65900,4,Cyril Magnin St at Ellis St,134,Valencia St at 24th St,5506,Subscriber,1989,Male
January,62633,245,Downtown Berkeley BART,157,65th St at Hollis St,2717,Customer,1965,Female
January,44680,85,Church St at Duboce Ave,53,Grove St at Divisadero,4557,Customer,1974,Male
January,60709,16,Steuart St at Market St,28,The Embarcadero at Bryant St,2100,Customer,,
January,6733,245,Downtown Berkeley BART,266,Parker St at Fulton St,3532,Subscriber,1994,Male
January,1188,34,Father Alfred E Boeddeker Park,146,30th St at San Jose Ave,5114,Subscriber,1984,Male
January,1254,318,San Carlos St at Market St,314,Santa Clara St at Almaden Blvd,3967,Subscriber,1991,Male
January,3153,29,O'Farrell St at Divisadero St,70,Central Ave at Fell St,4813,Subscriber,1979,Male
January,323,223,16th St Mission BART Station 2,129,Harrison St at 20th St,1976,Subscriber,1991,Male
January,2316,378,Empire St at 7th St,292,Empire St at 1st St,3826,Subscriber,,
January,433,266,Parker St at Fulton St,256,Hearst Ave at Euclid Ave,4642,Subscriber,1996,Male
January,272,349,Howard St at Mary St,60,8th St at Ringold St,263,Subscriber,1993,Male
January,547,77,11th St at Natoma St,349,Howard St at Mary St,3035,Subscriber,1988,Male
January,4310,312,San Jose Diridon Station,304,Jackson St at 5th St,3886,Subscriber,1985,Male
January,559,41,Golden Gate Ave at Polk St,52,McAllister St at Baker St,5019,Subscriber,1991,Female
January,451,305,Ryland Park,317,San Salvador St at 9th St,3842,Subscriber,1992,Male
January,731,81,Berry St at 4th St,323,Broadway at Kearny,5480,Subscriber,1959,Male
January,480,370,Jones St at Post St,21,Montgomery St BART Station (Market St at 2nd St),4960,Subscriber,1987,Male
January,252,121,Mission Playground,133,Valencia St at 22nd St,5257,Subscriber,1995,Male
January,376,25,Howard St at 2nd St,349,Howard St at Mary St,3649,Customer,1990,Male
January,340,95,Sanchez St at 15th St,58,Market St at 10th St,5382,Customer,1989,Male
January,1485,3,Powell St BART Station (Market St at 4th St),118,Eureka Valley Recreation Center,5193,Subscriber,1965,Male
January,424,201,10th St at Fallon St,221,6th Ave at E 12th St (Temporary Location),198,Subscriber,1984,Male
January,851,223,16th St Mission BART Station 2,39,Scott St at Golden Gate Ave,5265,Subscriber,1962,Other
January,836,223,16th St Mission BART Station 2,39,Scott St at Golden Gate Ave,5354,Subscriber,1989,Female
January,480,29,O'Farrell St at Divisadero St,118,Eureka Valley Recreation Center,4533,Subscriber,1987,Male
January,538,115,Jackson Playground,126,Esprit Park,5309,Subscriber,1989,Female
January,342,364,China Basin St at 3rd St,28,The Embarcadero at Bryant St,5122,Subscriber,1996,Male
January,678,18,Telegraph Ave at Alcatraz Ave,251,California St at University Ave,4542,Subscriber,1985,Male
January,473,115,Jackson Playground,126,Esprit Park,4737,Subscriber,1986,Male
January,193,86,Market St at Dolores St,73,Pierce St at Haight St,4809,Subscriber,1996,Male
January,478,370,Jones St at Post St,41,Golden Gate Ave at Polk St,5373,Subscriber,1991,Female
January,748,364,China Basin St at 3rd St,16,Steuart St at Market St,3249,Subscriber,1981,Female
January,129,17,Embarcadero BART Station (Beale St at Market St),22,Howard St at Beale St,1195,Subscriber,1989,Female
January,185,244,Shattuck Ave at Hearst Ave,254,Vine St at Shattuck Ave,4815,Subscriber,1994,Female
January,563,78,Folsom St at 9th St,62,Victoria Manalo Draves Park,1698,Subscriber,1994,Female
January,370,278,The Alameda at Bush St,282,Market St at Park St,3945,Subscriber,1991,Male
January,335,104,4th St at 16th St,81,Berry St at 4th St,845,Subscriber,1959,Male
January,785,239,Bancroft Way at Telegraph Ave,385,Woolsey St at Sacramento St,4913,Subscriber,1967,Male
January,588,86,Market St at Dolores St,52,McAllister St at Baker St,4804,Subscriber,1974,Male
January,1296,139,Garfield Square (25th St at Harrison St),285,Webster St at O'Farrell St,5268,Subscriber,1995,Female
January,1304,139,Garfield Square (25th St at Harrison St),285,Webster St at O'Farrell St,4659,Subscriber,1996,Female
January,774,87,Folsom St at 13th St,73,Pierce St at Haight St,3309,Subscriber,1993,Female
January,542,47,4th St at Harrison St,91,Berry St at King St,5374,Subscriber,1996,Male
January,519,47,4th St at Harrison St,91,Berry St at King St,4655,Customer,,
January,720,99,Folsom St at 15th St,34,Father Alfred E Boeddeker Park,4842,Subscriber,1982,Male
January,266,17,Embarcadero BART Station (Beale St at Market St),323,Broadway at Kearny,4778,Subscriber,1972,Male
January,724,73,Pierce St at Haight St,59,S Van Ness Ave at Market St,4759,Customer,,
January,388,74,Laguna St at Hayes St,43,San Francisco Public Library (Grove St at Hyde St),5401,Subscriber,1982,Male
January,646,274,Oregon St at Adeline St,258,University Ave at Oxford St,342,Customer,1994,Male
January,524,141,Valencia St at Cesar Chavez St,356,Valencia St at Clinton Park,4962,Subscriber,1986,Female
January,393,121,Mission Playground,137,Jersey St at Castro St,5398,Subscriber,1992,Male
January,397,121,Mission Playground,137,Jersey St at Castro St,4553,Subscriber,1989,Female
January,539,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,3652,Subscriber,1993,Male
January,1942,311,Paseo De San Antonio at 2nd St,278,The Alameda at Bush St,3945,Subscriber,1991,Male
January,581,311,Paseo De San Antonio at 2nd St,357,2nd St at Julian St,2808,Subscriber,1996,Male
January,572,129,Harrison St at 20th St,80,Townsend St at 5th St,5223,Subscriber,1983,Male
January,170,230,14th St at Mandela Pkwy,231,14th St at Filbert St,515,Subscriber,1982,Female
January,278,16,Steuart St at Market St,28,The Embarcadero at Bryant St,1883,Subscriber,1979,Male
January,437,130,22nd St Caltrain Station,345,Hubbell St at 16th St,5224,Subscriber,1989,Male
January,238,364,China Basin St at 3rd St,66,3rd St at Townsend St,167,Subscriber,1992,Male
January,407,27,Beale St at Harrison St,364,China Basin St at 3rd St,5275,Subscriber,1995,Male
January,562,223,16th St Mission BART Station 2,56,Koshland Park,5173,Subscriber,1988,Male
January,320,13,Commercial St at Montgomery St,284,Yerba Buena Center for the Arts (Howard St at 3rd St),3048,Subscriber,1993,Male
January,711,22,Howard St at Beale St,350,8th St at Brannan St,4626,Subscriber,1994,Male
January,703,109,17th St at Valencia St,61,Howard St at 8th St,4980,Customer,1988,Male
January,136,14,Clay St at Battery St,11,Davis St at Jackson St,3452,Subscriber,1972,Female
January,5861,377,Fell St at Stanyan St,71,Broderick St at Oak St,4938,Subscriber,1971,Other
January,369,129,Harrison St at 20th St,75,Market St at Franklin St,5166,Subscriber,1988,Female
January,2236,292,Empire St at 1st St,378,Empire St at 7th St,3826,Subscriber,,
January,292,256,Hearst Ave at Euclid Ave,253,Haste St at College Ave,4503,Subscriber,1997,Male
January,348,119,18th St at Noe St,123,Folsom St at 19th St,5549,Customer,,
January,240,183,Telegraph Ave at 19th St,195,Bay Pl at Vernon St,5078,Subscriber,1971,Male
January,415,223,16th St Mission BART Station 2,41,Golden Gate Ave at Polk St,4619,Subscriber,1965,Male
January,141,258,University Ave at Oxford St,244,Shattuck Ave at Hearst Ave,5104,Subscriber,1997,Male
January,553,235,Union St at 10th St,213,32nd St at Adeline St,666,Subscriber,1987,Male
January,1890,85,Church St at Duboce Ave,131,22nd St at Dolores St,5427,Subscriber,1989,Male
January,171,89,Division St at Potrero Ave,101,15th St at Potrero Ave,827,Subscriber,1987,Male
January,237,258,University Ave at Oxford St,239,Bancroft Way at Telegraph Ave,4913,Subscriber,1998,Male
January,538,47,4th St at Harrison St,284,Yerba Buena Center for the Arts (Howard St at 3rd St),5031,Subscriber,1980,Other
January,250,238,MLK Jr Way at University Ave,252,Channing Way at Shattuck Ave,4677,Subscriber,1996,Male
January,698,87,Folsom St at 13th St,141,Valencia St at Cesar Chavez St,4651,Subscriber,1981,Male
January,678,310,San Fernando St at 4th St,305,Ryland Park,313,Subscriber,1992,Male
January,400,20,Mechanics Monument Plaza (Market St at Bush St),323,Broadway at Kearny,134,Customer,1991,Male
January,312,262,West St at University Ave,263,Channing Way at San Pablo Ave,3239,Subscriber,1981,Female
January,768,47,4th St at Harrison St,130,22nd St Caltrain Station,5294,Customer,1994,Male
January,235,141,Valencia St at Cesar Chavez St,121,Mission Playground,4553,Subscriber,1972,Male
January,511,54,Alamo Square (Steiner St at Fulton St),61,Howard St at 8th St,5411,Subscriber,1999,Male
January,415,28,The Embarcadero at Bryant St,8,The Embarcadero at Vallejo St,2584,Customer,1992,Male
January,1001,34,Father Alfred E Boeddeker Park,110,17th & Folsom Street Park (17th St at Folsom St),5125,Subscriber,1982,Male
January,705,129,Harrison St at 20th St,141,Valencia St at Cesar Chavez St,4719,Customer,1991,Male
January,1234,17,Embarcadero BART Station (Beale St at Market St),122,19th St at Mission St,1320,Subscriber,1969,Male
January,241,250,North Berkeley BART Station,351,10th St at University Ave,5256,Subscriber,1970,Male
January,544,279,Santa Clara St at 7th St,278,The Alameda at Bush St,496,Subscriber,1994,Male
January,468,262,West St at University Ave,258,University Ave at Oxford St,5104,Subscriber,1998,Male
January,542,27,Beale St at Harrison St,34,Father Alfred E Boeddeker Park,5114,Subscriber,1995,Male
January,2797,70,Central Ave at Fell St,29,O'Farrell St at Divisadero St,4533,Subscriber,1979,Male
January,593,252,Channing Way at Shattuck Ave,268,Ellsworth St at Russell St,1224,Subscriber,1992,Female
January,231,239,Bancroft Way at Telegraph Ave,253,Haste St at College Ave,3232,Subscriber,1994,Male
January,260,75,Market St at Franklin St,86,Market St at Dolores St,4370,Subscriber,1982,Male
January,2107,58,Market St at 10th St,56,Koshland Park,5027,Subscriber,1992,Male
January,2082,133,Valencia St at 22nd St,37,2nd St at Folsom St,5142,Subscriber,,
January,1447,121,Mission Playground,37,2nd St at Folsom St,5399,Customer,,
January,385,11,Davis St at Jackson St,343,Bryant St at 2nd St,4969,Subscriber,1967,Male
January,473,88,11th St at Bryant St,91,Berry St at King St,3717,Subscriber,1976,Male
January,257,310,San Fernando St at 4th St,357,2nd St at Julian St,3815,Subscriber,1995,Male
January,195,385,Woolsey St at Sacramento St,241,Ashby BART Station,644,Subscriber,1972,Male
January,648,22,Howard St at Beale St,6,The Embarcadero at Sansome St,3279,Subscriber,1979,Male
